1.122E2,7.969E-1,?,8.096E2,1.374E-3,1.162E-1,?,9.8E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-2.06E-1,-8.297E-3,6.719E-2,4.072E-2,-5.774E-2,1.133E-1,-3.843E-2,-7.209E-2,-8.223E-3,0E0,6.101E-1,1.19E2,5.274E3,9.549E4,5.006E7,La Aurora,Ottmar Liebert,Instrumental,A,248254,128,112
1.271E2,8.594E-1,?,6.579E2,1.107E-3,9.8E-2,?,9.9E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-7.334E-3,2.347E-2,5.805E-2,-9.378E-2,4.209E-2,-7.3E-2,-5.04E-2,4.146E-3,-1.25E-2,0E0,5.67E-1,1.277E2,5.436E3,5.08E3,5.409E7,Copacabana,Manhattan Brass  Band,Instrumental,A,120228,128,100
1.411E2,8.32E-1,?,3.975E2,1.041E-3,8.441E-2,?,1.11E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,1.115E-1,1.321E-1,-3.459E-2,-1.384E-2,-8.818E-2,1.001E-1,7.855E-2,-5.02E-3,6.875E-2,0E0,5.56E-1,1.34E2,4.845E3,-6.218E4,4.544E7,Copacabana,Manhattan Brass  Band,Instrumental,A,120228,128,100
1.16E2,7.852E-1,?,6.736E2,9.508E-4,8.423E-2,?,1.09E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-2.253E-2,3.366E-2,-1.277E-1,-4.393E-2,-4.324E-2,-3.14E-3,-9.391E-2,4.516E-2,-1.242E-1,0E0,4.736E-1,1.211E2,5.383E3,-1.298E2,5.255E7,Copacabana,Manhattan Brass  Band,Instrumental,A,120228,128,100
9.52E1,7.617E-1,?,4.755E2,1.266E-3,9.097E-2,?,1.05E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-2.575E-1,-1.418E-1,-8.6E-2,-5.713E-3,-3.081E-2,-1.102E-1,-3.477E-2,1.211E-2,5.131E-2,0E0,5.919E-1,1.132E2,5.875E3,8.584E4,6.116E7,Fuiste Mala,Adolfo & Gustavo Angel,Instrumental,A,161711,128,133
1.168E2,8.75E-1,?,7.489E2,1.402E-3,1.203E-1,?,1.03E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.307E-1,6.082E-2,6.433E-2,-1.212E-1,7.512E-2,2.25E-2,-1.397E-1,1.177E-2,-1.317E-1,0E0,6.403E-1,1.197E2,5.162E3,6.307E4,5.29E7,Fuiste Mala,Adolfo & Gustavo Angel,Instrumental,A,161711,128,133
1.159E2,8.164E-1,?,6.674E2,1.557E-3,1.255E-1,?,1.08E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.473E-1,4.553E-2,-1.303E-2,-5.552E-2,-4.281E-2,8.258E-2,-8.32E-2,2.404E-3,-5.604E-2,0E0,8.14E-1,1.203E2,5.318E3,3.342E4,5.112E7,Fuiste Mala,Adolfo & Gustavo Angel,Instrumental,A,161711,128,133
1.018E2,7.227E-1,?,8.822E2,1.518E-3,1.445E-1,?,1.02E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-8.207E-2,-4.256E-2,9.941E-3,-4.705E-2,1.094E-1,-5.923E-2,-2.854E-2,-1.11E-1,-8.471E-2,0E0,6.835E-1,1.135E2,5.6E3,9.597E4,5.972E7,Granada,James Last,Instrumental,A,249482,128,180
1.219E2,8.516E-1,?,7.59E2,1.536E-3,1.506E-1,?,1.11E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.187E-2,-9.569E-2,-1.091E-2,-2.385E-2,-9.288E-3,1.597E-1,-4.837E-3,-1.547E-2,5.913E-2,0E0,7.774E-1,1.267E2,5.84E3,-1.779E3,5.645E7,Granada,James Last,Instrumental,A,249482,128,180
1.102E2,8.438E-1,?,7.244E2,1.733E-3,1.596E-1,?,1.13E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-3.805E-2,-4.18E-2,5.971E-3,-5.841E-2,-6.039E-2,1.831E-1,-1.617E-2,-3.732E-2,4.475E-2,0E0,8.297E-1,1.191E2,5.661E3,6.236E4,5.784E7,Granada,James Last,Instrumental,A,249482,128,180
1.517E2,8.477E-1,?,6.211E2,9.901E-4,9.5E-2,?,1.26E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,2.407E-1,-3.686E-2,-2.377E-1,-1.226E-2,-7.117E-3,4.02E-2,2.433E-2,6.264E-2,1.104E-1,0E0,4.92E-1,1.408E2,5.11E3,-1.209E5,5.029E7,The Lighthouse,Wayne Gratz,Instrumental,A,225136,128,194
1.211E2,8.516E-1,?,6.647E2,1.213E-3,1.152E-1,?,1.28E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,7.191E-2,1.396E-3,-2.341E-2,4.941E-2,3.518E-2,6.782E-2,6.136E-2,-4.171E-2,-5.687E-2,0E0,6.635E-1,1.236E2,5.52E3,3.927E4,5.359E7,The Lighthouse,Wayne Gratz,Instrumental,A,225136,128,194
1.326E2,8.555E-1,?,6.961E2,1.565E-3,1.331E-1,?,1.04E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,7.202E-2,-8.649E-3,-7.216E-2,5.23E-2,9.211E-2,1.36E-1,-1.877E-2,-3.053E-2,6.727E-2,0E0,7.429E-1,1.303E2,5.337E3,-2.124E4,5.228E7,The Lighthouse,Wayne Gratz,Instrumental,A,225136,128,194
1.296E2,8.477E-1,?,6.598E2,1.137E-3,1.021E-1,?,1.09E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,2.409E-2,-1.575E-2,-3.993E-2,1.054E-1,4.593E-2,-4.943E-3,-7.265E-2,4.672E-2,8.4E-2,0E0,5.621E-1,1.279E2,5.261E3,-1.019E4,4.822E7,Soca Dance,Ray Hamilton & Orchestra,Instrumental,A,244310,128,120
1.209E2,8.516E-1,?,7.917E2,8.586E-4,1.011E-1,?,1.16E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-7.862E-3,6.585E-2,-1.198E-1,3.063E-2,3.14E-2,8.672E-3,2.357E-2,2.048E-2,2.232E-2,0E0,4.539E-1,1.24E2,5.923E3,4.131E4,6.069E7,Soca Dance,Ray Hamilton & Orchestra,Instrumental,A,244310,128,120
1.319E2,8.008E-1,?,6.122E2,1.243E-3,1.116E-1,?,1.06E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-2.017E-2,4.459E-2,-4.111E-2,2.576E-2,-1.13E-1,-1.354E-2,4.882E-2,2.338E-2,1.428E-2,0E0,6.34E-1,1.307E2,4.701E3,-1.325E4,4.347E7,Soca Dance,Ray Hamilton & Orchestra,Instrumental,A,244310,128,120
1.426E2,9.727E-1,?,6.545E2,2.135E-3,1.714E-1,?,1.04E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-3.307E-3,-2.102E-1,-4.08E-2,-1.951E-3,1.348E-1,-6.247E-2,9.224E-2,2.787E-3,4.655E-2,0E0,8.787E-1,1.335E2,6.571E3,-5.073E4,7.217E7,El Porompompero,Paco Nula,Instrumental,A,187859,128,124
1.238E2,8.398E-1,?,6.295E2,1.739E-3,1.623E-1,?,1.08E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-2.833E-3,-9.224E-2,-4.391E-2,7.398E-2,1.355E-1,-2.89E-2,-1.212E-1,1.144E-1,-1.157E-2,0E0,8.915E-1,1.257E2,5.727E3,1.017E4,5.443E7,El Porompompero,Paco Nula,Instrumental,A,187859,128,124
1.328E2,8.047E-1,?,5.799E2,1.636E-3,1.509E-1,?,1.07E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,7.367E-2,3.82E-2,-8.945E-2,1.048E-2,-3.839E-3,-6.867E-2,1.284E-2,-5.05E-3,6.046E-2,0E0,8.949E-1,1.288E2,5.44E3,-6.566E4,5.353E7,El Porompompero,Paco Nula,Instrumental,A,187859,128,124
1.216E2,8.125E-1,?,7.665E2,1.4E-3,1.298E-1,?,1.05E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.435E-1,-8.121E-2,-9.605E-2,-6.974E-2,-3.756E-2,-8.463E-3,-5.953E-2,-2.588E-2,-8.83E-2,0E0,7.135E-1,1.239E2,5.335E3,-2.949E3,5.309E7,Andalucia,Paco Nula,Instrumental,A,287412,128,110
