8.625E1,7.344E-1,?,9.398E2,1.401E-3,1.064E-1,?,9.4E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-2.168E-1,-7.508E-2,1.025E-2,2.548E-2,-4.605E-2,3.776E-2,-5.024E-2,1.01E-1,4.405E-2,0E0,5.182E-1,1.086E2,5.701E3,1.294E5,5.946E7,Paradise,Smooth Jazz,Instrumental,C,188016,128,135
9.742E1,6.836E-1,?,8.003E2,1.445E-3,1.354E-1,?,1.09E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,6.543E-3,-8.424E-2,3.799E-2,-7.375E-2,1.318E-1,-9.726E-3,1.721E-2,-2.254E-2,-2.365E-2,0E0,6.386E-1,1.109E2,5.383E3,1.532E5,5.756E7,Arthur's Theme (The Best You Can Do),Royal Philarmonic Orchestra,Instrumental,C,204682,128,101
1.41E2,9.375E-1,?,7.871E2,1.641E-3,1.456E-1,?,1.16E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,1.48E-2,4.562E-2,1.508E-1,-9.534E-3,1.456E-1,7.517E-2,-3.6E-3,-3.722E-2,-7.364E-2,0E0,7.121E-1,1.329E2,5.478E3,3.591E4,5.482E7,Arthur's Theme (The Best You Can Do),Royal Philarmonic Orchestra,Instrumental,C,204682,128,101
1.045E2,8.164E-1,?,7.358E2,1.81E-3,1.363E-1,?,9.6E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-9.439E-2,-2.269E-2,1.15E-1,-1.644E-1,3.584E-2,5.354E-2,3.62E-2,-1.612E-1,1.151E-1,0E0,7.233E-1,1.131E2,5.657E3,1.913E5,6.538E7,Arthur's Theme (The Best You Can Do),Royal Philarmonic Orchestra,Instrumental,C,204682,128,101
1.235E2,7.266E-1,?,7.852E2,8.732E-4,7.201E-2,?,8.7E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-2.514E-1,-4.719E-2,-2.614E-1,9.234E-2,1.146E-1,-4.74E-3,2.746E-2,1.117E-1,-6.525E-3,0E0,3.599E-1,1.254E2,5.325E3,-3.693E4,5.155E7,No Matter What,Gheorghe Zamfir,Instrumental,C,264685,128,183
1.199E2,8.906E-1,?,7.631E2,1.05E-3,1.178E-1,?,1E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,8.766E-2,-6.532E-2,3.47E-2,-7.804E-3,-1.838E-2,-6.065E-3,-2.788E-2,-1.324E-1,3.406E-2,0E0,4.8E-1,1.228E2,6.172E3,3.136E4,6.563E7,No Matter What,Gheorghe Zamfir,Instrumental,C,264685,128,183
1.252E2,8.945E-1,?,6.277E2,7.98E-4,8.143E-2,?,1.14E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,7.363E-3,-1.717E-1,5.669E-2,-1.886E-2,6.157E-2,-7.681E-2,-3.041E-2,5.447E-2,-2.415E-2,0E0,3.769E-1,1.283E2,5.599E3,6.059E3,5.589E7,No Matter What,Gheorghe Zamfir,Instrumental,C,264685,128,183
1.293E2,8.828E-1,?,6.645E2,1.157E-3,1.271E-1,?,1.15E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,1.203E-1,3.046E-2,9.684E-2,-9.736E-2,4.384E-2,-4.283E-2,8.603E-4,1.742E-1,1.19E-1,0E0,6.406E-1,1.29E2,5.756E3,-8.96E3,5.814E7,Easy,Classic R&B Hits,Instrumental,C,259748,128,195
1.009E2,7.539E-1,?,6.828E2,1.166E-3,1.162E-1,?,9.4E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.808E-1,-6.654E-2,-8.221E-2,1.805E-1,5.373E-2,9.913E-2,-4.665E-2,1.501E-1,9.709E-2,0E0,5.883E-1,1.145E2,5.593E3,9.207E4,5.614E7,Easy,Classic R&B Hits,Instrumental,C,259748,128,195
1.095E2,7.891E-1,?,7.26E2,1.392E-3,1.337E-1,?,1.13E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.445E-1,-2.359E-2,-5.153E-2,1.579E-1,1.597E-1,1.508E-1,4.621E-2,5.21E-2,1.672E-1,0E0,7.049E-1,1.184E2,5.312E3,9.298E4,4.999E7,Easy,Classic R&B Hits,Instrumental,C,259748,128,195
